datetime,numeric,string
2019-03-11 09:00:00,-131.3453927874164,YBGLL
2018-11-09 13:00:00,-70.28736188508937,KMFXT
2022-09-09 06:00:00,97.28354396080832,RBZZJ
2023-05-03 19:00:00,142.98279597864382,JJJBE
2019-08-13 00:00:00,-64.06488169782793,RYSXQ
2019-11-01 14:00:00,-100.38321346890118,WZQQW
2023-05-11 19:00:00,148.13608742412603,UORGJ
2019-07-04 14:00:00,-164.2602038232781,KKUQT
2019-10-12 04:00:00,14.593661633825148,NNKOD
2018-08-27 00:00:00,24.411270859419254,LDLFY
2020-10-12 23:00:00,-77.36216721207172,PETWF
2018-09-04 22:00:00,38.43750569485137,AZMYX
2022-09-05 17:00:00,48.08161058946668,PHYTV
2018-01-15 05:00:00,-65.13412311933327,PGJCZ
2019-03-05 13:00:00,-3.527675562497191,RSKOV
2023-04-23 03:00:00,31.099324120088184,YTFGT
2021-04-30 10:00:00,-47.50653886549968,EYZOP
2020-10-27 12:00:00,-130.3637580803254,BEKCZ
2020-10-29 05:00:00,-3.1471356995982873,XCZAM
2021-04-21 18:00:00,8.953621774929436,GKVNA
2020-10-04 17:00:00,90.61846290361794,RIMED
2023-07-12 12:00:00,-88.09537123529067,CZTIW
2022-12-22 10:00:00,6.875806094430794,ACNGS
2018-03-17 13:00:00,75.7969104003001,QNGPL
2019-11-02 21:00:00,71.60047186620024,WNOEA
2022-03-08 20:00:00,-165.2970031257256,DJMMT
2020-09-11 19:00:00,11.385110970065304,UQUFR
2020-05-17 10:00:00,28.514584968060312,MSWGJ
2020-08-08 06:00:00,-75.0073433768213,PFWQK
2023-03-28 01:00:00,-177.0591223398652,HMIHM
2023-03-25 22:00:00,-275.0436392256581,NYXIR
2022-05-07 04:00:00,-9.614577622381404,YCRLU
2020-12-30 14:00:00,-28.077542443344566,OUSAL
2020-04-16 05:00:00,42.445365651177845,ISKHY
2023-12-27 09:00:00,132.6689658331597,KHRXF
2020-08-27 19:00:00,-29.0436752661406,KEDXH
2023-02-27 06:00:00,-78.68761474727593,YASUQ
2020-07-12 06:00:00,-51.45964138284946,UNFFG
2019-03-12 14:00:00,-140.58124629499264,AYBBN
2018-11-24 18:00:00,265.91764340332753,OOTCB
2020-12-05 01:00:00,-78.23740494902168,ZLBGD
2020-04-02 07:00:00,98.97426886441629,PLYCK
2021-05-19 18:00:00,45.34012689016269,RLWMM
2023-12-19 06:00:00,-105.93010216976566,YMTST
2018-05-08 14:00:00,170.2726565107936,SQXHQ
2021-02-04 04:00:00,13.658606981656188,YISAS
2021-12-05 03:00:00,-21.314225614645817,RASRA
2020-08-06 09:00:00,74.4598651951284,JEJUX
2019-05-30 02:00:00,71.24183641844367,LGDUC
2023-10-02 06:00:00,67.06112205346666,DIDDD
2018-06-22 22:00:00,106.11991415109347,EOCWB
2021-11-21 05:00:00,94.91951099357799,RFQVZ
2018-02-23 08:00:00,-2.583563359125759,NASXH
2018-12-14 13:00:00,17.311389397001467,UWBCH
2021-07-02 10:00:00,-27.865587736833326,LUWRN
2019-02-06 11:00:00,-248.36991637030826,PZYLL
2019-07-26 07:00:00,-91.88752823050149,TOJWC
2023-09-01 22:00:00,-6.919573359153884,USLLR
2019-01-30 10:00:00,15.260713652636987,QOGCG
2023-05-14 20:00:00,-72.86016991350857,AEMDQ
2022-05-30 15:00:00,13.382601654303025,ZBPCW
2020-05-29 23:00:00,94.84525821970404,PIXTZ
2022-06-08 03:00:00,82.1025705658723,OAHGW
2023-04-06 20:00:00,79.42350370694189,TSRUY
2023-09-25 10:00:00,13.408221429787858,NJIQF
2022-03-12 02:00:00,-8.106434882684361,HCUMO
2020-08-10 20:00:00,-64.57436300475271,OHCMB
2020-01-09 00:00:00,-59.32106432463723,PCYFD
2018-04-08 01:00:00,9.680710285929669,ZNLJF
2020-06-06 16:00:00,-106.48522659768406,MFNVI
2019-06-24 16:00:00,-145.8820888147147,OFUYA
2023-05-18 04:00:00,101.29935363718442,IGUWA
2020-10-10 06:00:00,148.46186179727954,EXXTU
2022-09-11 21:00:00,-64.56419631466332,STTCQ
2023-09-24 08:00:00,42.52192860990967,STFAK
2021-03-13 12:00:00,81.81877233316438,VDNBM
2021-08-15 20:00:00,58.42917760057696,CDDMX
2023-04-08 15:00:00,123.19008949482439,OVBLC
2019-06-11 19:00:00,24.87571128543566,JZDCC
2020-12-12 07:00:00,17.754311772721383,ZVLNJ
2023-01-19 05:00:00,-32.69438477595216,CFOUK
2018-04-01 17:00:00,174.4109182218074,YGDLG
2019-12-02 02:00:00,90.21610248531273,GGXNQ
2019-07-27 17:00:00,-172.65538364927335,SNBOQ
2019-02-26 02:00:00,-28.3159272216159,TJZJL
2020-05-13 16:00:00,-139.79257602307135,XVRHV
2019-11-13 12:00:00,153.35566983249797,AFCYU
2018-01-27 13:00:00,26.957946698521013,CUHUT
2019-01-19 23:00:00,10.308950977712241,CXPFB
2021-07-18 08:00:00,-106.59530449670814,AQAOD
2018-10-23 15:00:00,117.3027897838884,AMBSK
